"Município";"id_orgao";"Órgão";"Categoria da Receita";"Origem da Receita";"2012";"2013";"2014"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas Correntes";"Receita de Contribuições";"3.598.077,69";"4.814.003,80";"5.729.770,82"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas Correntes";"Receita de Serviços";"1.597.322,98";"1.730.552,02";"1.358.821,95"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas Correntes";"Receita Patrimonial";"2.575.091,25";"3.020.320,58";"3.877.637,06"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas Correntes";"Receita Tributária";"55.561.655,51";"60.650.548,82";"67.054.071,16"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas Correntes";"Transferências Correntes";"260.724.931,62";"352.325.904,06";"321.782.622,41"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas de Capital";"Alienação de Bens";"";"31.297,60";"246.700,00"
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas de Capital";"Operações de Crédito";"4.000.000,00";"";""
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas de Capital";"Outras Receitas de Capital";"2.196.054,00";"";""
"Embu das Artes";"";"Prefeitura Municipal De Embu Das Artes";"Receitas de Capital";"Transferências de Capital";"22.063.524,08";"12.822.244,08";"13.959.478,27"
"Embu-Guaçu";"";"Prefeitura Municipal De Embu-Guaçu";"Receitas Correntes";"Outras Receitas Correntes";"5.304.072,02";"7.050.845,30";"6.787.076,74"
"Embu-Guaçu";"";"Prefeitura Municipal De Embu-Guaçu";"Receitas Correntes";"Receita de Contribuições";"999.565,37";"1.064.110,80";"1.512.533,08"
"Embu-Guaçu";"";"Prefeitura Municipal De Embu-Guaçu";"Receitas Correntes";"Receita Patrimonial";"135.418,11";"7.091.289,66";"286.827,63"
"Embu-Guaçu";"";"Prefeitura Municipal De Embu-Guaçu";"Receitas Correntes";"Receita Tributária";"13.408.940,18";"14.804.145,35";"14.591.181,63"
"Embu-Guaçu";"";"Prefeitura Municipal De Embu-Guaçu";"Receitas Correntes";"Transferências Correntes";"68.576.361,11";"82.459.902,26";"88.723.408,35"
"Embu-Guaçu";"";"Prefeitura Municipal De Embu-Guaçu";"Receitas de Capital";"Transferências de Capital";"3.426.559,61";"4.466.841,75";"5.746.888,54"
"Emilianópolis";"";"Prefeitura Municipal De Emilianópolis";"Receitas Correntes";"Outras Receitas Correntes";"171.679,83";"169.900,17";"131.893,75"
"Emilianópolis";"";"Prefeitura Municipal De Emilianópolis";"Receitas Correntes";"Receita de Serviços";"11.084,00";"28.509,74";"20.196,52"
"Emilianópolis";"";"Prefeitura Municipal De Emilianópolis";"Receitas Correntes";"Receita Patrimonial";"107.348,25";"54.442,07";"72.758,88"
"Emilianópolis";"";"Prefeitura Municipal De Emilianópolis";"Receitas Correntes";"Receita Tributária";"325.094,53";"323.122,45";"494.371,94"
"Emilianópolis";"";"Prefeitura Municipal De Emilianópolis";"Receitas Correntes";"Transferências Correntes";"9.349.897,41";"10.384.513,73";"11.045.145,11"
"Emilianópolis";"";"Prefeitura Municipal De Emilianópolis";"Receitas de Capital";"Transferências de Capital";"1.014.169,47";"1.444.549,40";"402.100,00"
"Engenheiro Coelho";"";"Instituto De Previdencia Dos Serv. Publicos Munic.";"Receitas Correntes";"Outras Receitas Correntes";"164.032,64";"195.865,33";"211.510,32"
"Engenheiro Coelho";"";"Instituto De Previdencia Dos Serv. Publicos Munic.";"Receitas Correntes";"Receita de Contribuições";"2.556.976,96";"2.749.276,94";"2.821.251,28"
"Engenheiro Coelho";"";"Instituto De Previdencia Dos Serv. Publicos Munic.";"Receitas Correntes";"Receita Patrimonial";"1.650.465,04";"855.830,22";"2.141.875,56"
"Engenheiro Coelho";"";"Prefeitura Municipal De Engenheiro Coelho";"Receitas Correntes";"Outras Receitas Correntes";"332.197,80";"569.245,72";"915.483,65"
"Engenheiro Coelho";"";"Prefeitura Municipal De Engenheiro Coelho";"Receitas Correntes";"Receita Patrimonial";"160.386,75";"125.761,93";"298.237,91"
"Engenheiro Coelho";"";"Prefeitura Municipal De Engenheiro Coelho";"Receitas Correntes";"Receita Tributária";"3.744.596,66";"4.823.185,49";"4.687.216,79"
"Engenheiro Coelho";"";"Prefeitura Municipal De Engenheiro Coelho";"Receitas Correntes";"Transferências Correntes";"25.534.298,59";"27.830.372,02";"33.013.639,41"
"Engenheiro Coelho";"";"Prefeitura Municipal De Engenheiro Coelho";"Receitas de Capital";"Alienação de Bens";"54.515,00";"5.136,09";""
"Engenheiro Coelho";"";"Prefeitura Municipal De Engenheiro Coelho";"Receitas de Capital";"Transferências de Capital";"3.850.252,54";"462.594,26";"3.060.564,47"
"Engenheiro Coelho";"";"Serviço De Agua E Esgoto De Engenheiro Coelho";"Receitas Correntes";"Outras Receitas Correntes";"181.223,63";"145.541,74";"249.096,70"
"Engenheiro Coelho";"";"Serviço De Agua E Esgoto De Engenheiro Coelho";"Receitas Correntes";"Receita de Serviços";"1.055.265,56";"1.222.729,91";"1.236.308,33"
"Engenheiro Coelho";"";"Serviço De Agua E Esgoto De Engenheiro Coelho";"Receitas Correntes";"Receita Patrimonial";"3.436,65";"2.133,49";"8.340,57"
"Engenheiro Coelho";"";"Serviço De Agua E Esgoto De Engenheiro Coelho";"Receitas Correntes";"Receita Tributária";"4.310,76";"11.025,08";"7.068,40"
"Engenheiro Coelho";"";"Serviço De Agua E Esgoto De Engenheiro Coelho";"Receitas Correntes";"Transferências Correntes";"4.735,00";"";""
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas Correntes";"Outras Receitas Correntes";"2.866.443,34";"3.228.977,49";"4.793.383,47"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas Correntes";"Receita de Contribuições";"5.973,64";"6.856,39";"8.169,39"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas Correntes";"Receita de Serviços";"1.127.347,44";"1.050.919,85";"1.123.764,07"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas Correntes";"Receita Patrimonial";"800.067,98";"616.515,34";"999.992,64"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas Correntes";"Receita Tributária";"12.115.326,17";"13.375.408,78";"15.180.147,52"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas Correntes";"Transferências Correntes";"54.274.602,80";"58.514.262,23";"62.267.423,46"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas de Capital";"Alienação de Bens";"2.619,47";"";"238.200,00"
"Espírito Santo do Pinhal";"";"Prefeitura Municipal De Espírito Santo Do Pinhal";"Receitas de Capital";"Transferências de Capital";"1.121.504,68";"1.283.252,89";"3.619.077,88"
"Espírito Santo do Turvo";"";"Prefeitura Municipal De Espírito Santo Do Turvo";"Receitas Correntes";"Outras Receitas Correntes";"326.844,02";"312.527,84";"129.904,57"
"Espírito Santo do Turvo";"";"Prefeitura Municipal De Espírito Santo Do Turvo";"Receitas Correntes";"Receita Patrimonial";"100.695,50";"90.060,04";"194.152,82"
"Espírito Santo do Turvo";"";"Prefeitura Municipal De Espírito Santo Do Turvo";"Receitas Correntes";"Receita Tributária";"1.025.069,93";"1.011.439,73";"1.228.060,80"
"Espírito Santo do Turvo";"";"Prefeitura Municipal De Espírito Santo Do Turvo";"Receitas Correntes";"Transferências Correntes";"12.875.279,99";"14.202.544,23";"14.531.419,48"
"Espírito Santo do Turvo";"";"Prefeitura Municipal De Espírito Santo Do Turvo";"Receitas de Capital";"Alienação de Bens";"32.300,00";"4.157,28";"98.317,00"
"Espírito Santo do Turvo";"";"Prefeitura Municipal De Espírito Santo Do Turvo";"Receitas de Capital";"Transferências de Capital";"1.472.170,20";"1.343.097,57";"791.539,24"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas Correntes";"Outras Receitas Correntes";"684.353,73";"1.175.319,37";"942.220,35"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas Correntes";"Receita de Serviços";"729.288,20";"773.259,30";"970.425,76"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas Correntes";"Receita Patrimonial";"133.324,38";"156.565,80";"285.543,16"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas Correntes";"Receita Tributária";"2.302.842,26";"3.172.717,39";"2.948.896,56"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas Correntes";"Transferências Correntes";"18.865.822,36";"22.014.675,38";"23.030.072,51"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas de Capital";"Alienação de Bens";"";"";"84.370,13"
"Estiva Gerbi";"";"Prefeitura Municipal De Estiva Gerbi";"Receitas de Capital";"Transferências de Capital";"914.658,85";"1.228.542,88";"670.438,32"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas Correntes";"Receita de Serviços";"148.867,46";"162.948,46";"185.551,21"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas Correntes";"Receita Patrimonial";"870.184,05";"87.741,87";"151.800,01"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas Correntes";"Receita Tributária";"3.666.907,61";"2.529.866,57";"2.967.918,66"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas Correntes";"Transferências Correntes";"14.429.000,10";"16.807.215,20";"18.520.121,50"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas de Capital";"Alienação de Bens";"13.263,00";"161.052,00";"306.360,00"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas de Capital";"Transferências de Capital";"3.173.135,10";"928.517,34";"1.458.871,75"
"Estrela d Oeste";"";"Instituto De Previdência Mun. De Estrela D Oeste";"Receitas Correntes";"Outras Receitas Correntes";"56.207,92";"";"12.474,29"
"Estrela d Oeste";"";"Instituto De Previdência Mun. De Estrela D Oeste";"Receitas Correntes";"Receita de Contribuições";"1.614.398,62";"1.662.673,07";"1.684.738,17"
"Estrela d Oeste";"";"Instituto De Previdência Mun. De Estrela D Oeste";"Receitas Correntes";"Receita Patrimonial";"249.374,22";"";"2.124,90"
"Estrela d Oeste";"";"Prefeitura Municipal De Estrela D Oeste";"Receitas Correntes";"Outras Receitas Correntes";"210.689,20";"437.919,41";"517.277,18"
"Estrela do Norte";"";"Prefeitura Municipal De Estrela Do Norte";"Receitas Correntes";"Receita de Serviços";"28,04";"911,57";"1.073,50"
"Estrela do Norte";"";"Prefeitura Municipal De Estrela Do Norte";"Receitas Correntes";"Receita Patrimonial";"42.056,09";"55.933,04";"59.005,46"
"Estrela do Norte";"";"Prefeitura Municipal De Estrela Do Norte";"Receitas Correntes";"Receita Tributária";"305.535,15";"253.164,30";"295.767,27"
"Estrela do Norte";"";"Prefeitura Municipal De Estrela Do Norte";"Receitas Correntes";"Transferências Correntes";"10.603.541,72";"11.870.678,67";"11.129.171,82"
"Estrela do Norte";"";"Prefeitura Municipal De Estrela Do Norte";"Receitas de Capital";"Alienação de Bens";"17.941,33";"17.170,00";""
"Estrela do Norte";"";"Prefeitura Municipal De Estrela Do Norte";"Receitas Correntes";"Outras Receitas Correntes";"230.232,33";"1.480.762,57";"1.384.379,15"
"Euclides da Cunha Paulista";"";"Prefeitura Municipal De Euclides Da Cunha Paulista";"Receitas Correntes";"Outras Receitas Correntes";"1.390.745,54";"2.098.262,64";"327.898,75"
"Euclides da Cunha Paulista";"";"Prefeitura Municipal De Euclides Da Cunha Paulista";"Receitas Correntes";"Receita Patrimonial";"85.313,41";"104.858,78";"146.503,75"
"Euclides da Cunha Paulista";"";"Prefeitura Municipal De Euclides Da Cunha Paulista";"Receitas Correntes";"Receita Tributária";"885.483,30";"1.068.141,58";"1.038.552,90"
"Euclides da Cunha Paulista";"";"Prefeitura Municipal De Euclides Da Cunha Paulista";"Receitas Correntes";"Transferências Correntes";"18.437.362,06";"20.465.559,51";"21.671.544,24"
"Euclides da Cunha Paulista";"";"Prefeitura Municipal De Euclides Da Cunha Paulista";"Receitas de Capital";"Alienação de Bens";"47.050,00";"";""
"Euclides da Cunha Paulista";"";"Prefeitura Municipal De Euclides Da Cunha Paulista";"Receitas de Capital";"Transferências de Capital";"1.781.889,07";"555.968,82";"1.958.292,56"
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas Correntes";"Receita Agropecuária";"100,00";"";""
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas Correntes";"Outras Receitas Correntes";"546.085,26";"700.117,67";"630.166,09"
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas Correntes";"Receita de Contribuições";"345.726,95";"305.120,80";"276.040,57"
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas Correntes";"Receita Patrimonial";"128.332,88";"129.889,80";"220.900,81"
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas Correntes";"Receita Tributária";"2.083.940,85";"2.571.554,28";"2.996.103,34"
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas Correntes";"Transferências Correntes";"26.992.471,67";"30.317.544,88";"32.100.212,56"
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas de Capital";"Alienação de Bens";"46.300,00";"104.750,00";""
"Fartura";"";"Prefeitura Municipal De Fartura";"Receitas de Capital";"Transferências de Capital";"1.113.543,99";"301.999,77";"1.912.661,24"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas de Capital";"Alienação de Bens";"245.000,00";"50.000,00";"228.300,00"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas Correntes";"Outras Receitas Correntes";"877.259,06";"135.679,19";"134.506,76"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas Correntes";"Receita de Serviços";"87.554,37";"53.168,74";"32.419,95"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas Correntes";"Receita Patrimonial";"150.712,54";"80.246,01";"102.292,08"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas Correntes";"Receita Tributária";"1.333.950,66";"1.460.175,49";"1.535.862,04"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas Correntes";"Transferências Correntes";"12.262.323,63";"14.062.817,27";"14.678.227,92"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas de Capital";"Operações de Crédito";"";"";"340.600,00"
"Fernando Prestes";"";"Prefeitura Municipal De Fernando Prestes";"Receitas de Capital";"Transferências de Capital";"3.126.315,30";"1.514.269,30";"1.575.407,06"
"Fernandópolis";"";"Instituto De Previdencia Mun.De Fernand";"Receitas Correntes";"Outras Receitas Correntes";"34.519,09";"683.550,73";"607.267,28"
"Fernandópolis";"";"Instituto De Previdencia Mun.De Fernand";"Receitas Correntes";"Receita de Contribuições";"3.585.042,45";"11.906.837,88";"15.716.942,90"
"Fernandópolis";"";"Instituto De Previdencia Mun.De Fernand";"Receitas Correntes";"Receita Patrimonial";"4.500.426,38";"167.139,16";"3.065.730,15"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas Correntes";"Outras Receitas Correntes";"4.214.587,33";"6.628.171,94";"6.319.788,84"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas Correntes";"Receita de Contribuições";"";"";"2.717.606,40"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas Correntes";"Receita de Serviços";"982.567,38";"1.151.566,85";"1.752.635,36"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas Correntes";"Receita Patrimonial";"768.860,57";"652.810,07";"735.693,12"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas Correntes";"Receita Tributária";"21.588.171,49";"22.579.818,39";"26.982.134,89"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas Correntes";"Transferências Correntes";"75.275.567,00";"84.629.037,28";"90.404.956,12"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas de Capital";"Alienação de Bens";"5.683.450,00";"";"119.201,20"
"Fernandópolis";"";"Prefeitura Municipal De Fernandópolis";"Receitas de Capital";"Transferências de Capital";"8.662.201,35";"2.617.798,44";"2.709.219,76"
"Fernão";"";"Fundo Municipal De Aposentadoria E Pensao De Fernao";"Receitas Correntes";"Receita de Contribuições";"777.696,52";"836.424,03";"952.262,37"
"Fernão";"";"Fundo Municipal De Aposentadoria E Pensao De Fernao";"Receitas Correntes";"Receita Patrimonial";"1.133.551,85";"396.177,15";"538.470,26"
"Fernão";"";"Prefeitura Municipal De Fernão";"Receitas Correntes";"Outras Receitas Correntes";"43.426,42";"59.324,78";"144.872,40"
"Fernão";"";"Prefeitura Municipal De Fernão";"Receitas Correntes";"Receita de Serviços";"58.070,18";"72.720,57";"104.493,86"
"Fernão";"";"Prefeitura Municipal De Fernão";"Receitas Correntes";"Receita Patrimonial";"45.387,47";"82.562,94";"217.209,48"
"Fernão";"";"Prefeitura Municipal De Fernão";"Receitas Correntes";"Receita Tributária";"180.533,22";"294.565,57";"363.970,40"
"Fernão";"";"Prefeitura Municipal De Fernão";"Receitas Correntes";"Transferências Correntes";"7.591.261,51";"8.243.757,33";"8.728.405,87"
"Fernão";"";"Prefeitura Municipal De Fernão";"Receitas de Capital";"Transferências de Capital";"513.796,22";"496.636,49";"1.502.722,29"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas Correntes";"Outras Receitas Correntes";"17.740.825,59";"14.062.174,15";"21.224.672,21"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas Correntes";"Receita de Contribuições";"49.783,90";"99.560,69";"4.038.033,27"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas Correntes";"Receita de Serviços";"331,50";"75,50";"190,50"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas Correntes";"Receita Patrimonial";"60.571,45";"93.713,49";"572.067,96"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas Correntes";"Receita Tributária";"28.431.827,45";"33.424.431,44";"31.625.704,08"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas Correntes";"Transferências Correntes";"162.698.366,95";"187.731.764,81";"195.196.204,44"
"Ferraz de Vasconcelos";"";"Prefeitura Municipal De Ferraz De Vasconcelos";"Receitas de Capital";"Transferências de Capital";"18.895.307,04";"6.717.550,17";"2.138.676,48"
"Flora Rica";"";"Prefeitura Municipal De Flora Rica";"Receitas Correntes";"Outras Receitas Correntes";"411.042,80";"326.193,66";"88.653,28"
"Flora Rica";"";"Prefeitura Municipal De Flora Rica";"Receitas Correntes";"Receita Patrimonial";"13.122,92";"27.570,86";"263.506,35"
"Flora Rica";"";"Prefeitura Municipal De Flora Rica";"Receitas Correntes";"Receita Tributária";"153.310,15";"320.217,73";"263.236,26"
"Flora Rica";"";"Prefeitura Municipal De Flora Rica";"Receitas Correntes";"Transferências Correntes";"8.384.877,13";"9.376.469,31";"9.770.307,54"
"Flora Rica";"";"Prefeitura Municipal De Flora Rica";"Receitas de Capital";"Alienação de Bens";"50.800,00";"25.050,00";""
"Flora Rica";"";"Prefeitura Municipal De Flora Rica";"Receitas de Capital";"Transferências de Capital";"472.782,06";"220.000,00";"815.580,23"
"Floreal";"";"Prefeitura Municipal De Floreal";"Receitas Correntes";"Transferências Correntes";"9.755.211,48";"10.636.092,16";"11.411.249,57"
"Floreal";"";"Instituto De Previdencia Municipal De Floreal";"Receitas Correntes";"Outras Receitas Correntes";"447.302,79";"591.799,06";"726.047,62"
"Floreal";"";"Instituto De Previdencia Municipal De Floreal";"Receitas Correntes";"Receita de Contribuições";"1.031.565,35";"1.092.690,94";"1.261.165,57"
"Floreal";"";"Instituto De Previdencia Municipal De Floreal";"Receitas Correntes";"Receita Patrimonial";"2.761.256,80";"610.148,14";"1.733.927,05"
"Floreal";"";"Prefeitura Municipal De Floreal";"Receitas Correntes";"Outras Receitas Correntes";"40.831,26";"39.404,65";"46.575,07"
"Floreal";"";"Prefeitura Municipal De Floreal";"Receitas Correntes";"Receita Patrimonial";"23.669,95";"30.648,45";"126.845,86"
"Floreal";"";"Prefeitura Municipal De Floreal";"Receitas Correntes";"Receita Tributária";"494.916,59";"702.776,51";"689.351,14"
"Floreal";"";"Prefeitura Municipal De Floreal";"Receitas de Capital";"Alienação de Bens";"33.200,00";"72.600,00";"88.560,00"
"Floreal";"";"Prefeitura Municipal De Floreal";"Receitas de Capital";"Transferências de Capital";"";"258.400,00";"1.583.431,46"
"Flórida Paulista";"";"Caixa Beneficente Dos Serv. Municipais Florida Pta";"Receitas Correntes";"Receita de Contribuições";"99.484,65";"97.859,44";"103.304,91"
"Flórida Paulista";"";"Caixa Beneficente Dos Serv. Municipais Florida Pta";"Receitas Correntes";"Receita Patrimonial";"24.703,42";"25.208,42";"38.128,04"
"Flórida Paulista";"";"Caixa Beneficente Dos Serv. Municipais Florida Pta";"Receitas de Capital";"Amortização de Empréstimos";"4.753,65";"672,00";"336,00"
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas Correntes";"Outras Receitas Correntes";"1.228.326,02";"532.219,97";"585.184,38"
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas Correntes";"Receita de Serviços";"";"60,00";"598,50"
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas Correntes";"Receita Patrimonial";"178.694,75";"178.822,94";"400.502,54"
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas Correntes";"Receita Tributária";"1.647.639,64";"2.306.289,15";"2.661.764,54"
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas Correntes";"Transferências Correntes";"20.474.527,50";"23.113.266,62";"26.136.452,23"
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas de Capital";"Alienação de Bens";"153.200,00";"";""
"Flórida Paulista";"";"Prefeitura Municipal De Flórida Paulista";"Receitas de Capital";"Transferências de Capital";"2.147.961,92";"582.375,57";"2.389.480,60"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas Correntes";"Outras Receitas Correntes";"1.059.091,15";"1.077.675,93";"575.368,33"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas Correntes";"Receita de Serviços";"4.961,00";"800,00";"21.581,00"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas Correntes";"Receita Patrimonial";"58.068,76";"72.597,66";"120.294,99"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas Correntes";"Receita Tributária";"819.065,94";"663.837,78";"2.760.561,28"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas Correntes";"Transferências Correntes";"10.578.639,30";"12.244.969,86";"12.962.530,25"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas de Capital";"Alienação de Bens";"";"240.350,00";"110.850,00"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas de Capital";"Amortização de Empréstimos";"440,00";"440,00";"520,00"
"Florínia";"";"Prefeitura Municipal De Florínea";"Receitas de Capital";"Transferências de Capital";"2.263.874,20";"1.147.151,94";"1.608.264,17"
"Franca";"";"Centro Universitário De Franca - Unifacef";"Receitas Correntes";"Outras Receitas Correntes";"551.881,44";"451.950,49";"407.940,70"
"Franca";"";"Centro Universitário De Franca - Unifacef";"Receitas Correntes";"Receita de Serviços";"13.012.986,42";"13.479.462,66";"14.927.415,17"
"Franca";"";"Centro Universitário De Franca - Unifacef";"Receitas Correntes";"Receita Patrimonial";"588.429,72";"628.561,97";"687.836,59"
"Franca";"";"Faculdade De Direito De Franca - ";"Receitas Correntes";"Outras Receitas Correntes";"743.525,26";"1.169.825,58";"940.280,25"
"Franca";"";"Faculdade De Direito De Franca - ";"Receitas Correntes";"Receita de Serviços";"8.231.998,81";"9.514.892,87";"10.063.158,12"
"Franca";"";"Faculdade De Direito De Franca - ";"Receitas Correntes";"Receita Patrimonial";"2.157.844,68";"2.090.917,42";"2.901.482,79"
"Franca";"";"Faculdade De Direito De Franca - ";"Receitas Correntes";"Transferências Correntes";"377.358,33";"440.031,82";"22.390,00"
"Franca";"";"Fundação Esporte, Arte E Cultura";"Receitas Correntes";"Outras Receitas Correntes";"58.252,89";"55.469,78";"65.259,60"
"Franca";"";"Fundação Esporte, Arte E Cultura";"Receitas Correntes";"Receita de Serviços";"58.238,40";"75.179,40";"79.431,00"
"Franca";"";"Fundação Esporte, Arte E Cultura";"Receitas Correntes";"Receita Patrimonial";"51.408,42";"61.623,16";"112.051,27"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Receita Agropecuária";"47.932,28";"38.550,24";"63.004,20"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Outras Receitas Correntes";"23.542.407,55";"25.682.112,70";"26.983.966,55"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Receita de Contribuições";"30.742,52";"29.329,12";"31.512,03"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Receita de Serviços";"110.141,57";"87.357,54";"155.702,22"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Receita Patrimonial";"12.635.692,26";"9.651.116,01";"13.128.081,12"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Receita Tributária";"108.758.347,69";"121.984.718,06";"131.945.886,87"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas Correntes";"Transferências Correntes";"262.122.376,76";"302.367.588,79";"315.908.018,50"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas de Capital";"Alienação de Bens";"51.076,08";"56.228,00";"30.542,46"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas de Capital";"Amortização de Empréstimos";"45.471,47";"42.655,06";"72.142,86"
"Franca";"";"Prefeitura Municipal De Franca";"Receitas de Capital";"Transferências de Capital";"11.065.370,15";"16.635.902,93";"13.433.234,66"
"Franca";"";"Sassom - Serviço Assistêncial E Seguro Social Dos Municipiarios De Franca ";"Receitas Correntes";"Outras Receitas Correntes";"1.209.278,49";"1.915.671,12";"1.629.883,24"
"Franca";"";"Sassom - Serviço Assistêncial E Seguro Social Dos Municipiarios De Franca ";"Receitas Correntes";"Receita de Contribuições";"1.206.654,86";"1.264.549,20";"1.314.229,92"
"Franca";"";"Sassom - Serviço Assistêncial E Seguro Social Dos Municipiarios De Franca ";"Receitas Correntes";"Receita de Serviços";"1.907,53";"212,67";"80,56"
"Franca";"";"Sassom - Serviço Assistêncial E Seguro Social Dos Municipiarios De Franca ";"Receitas Correntes";"Receita Patrimonial";"1.508.497,99";"1.580.699,02";"2.376.511,31"
"Franca";"";"Sassom - Serviço Assistêncial E Seguro Social Dos Municipiarios De Franca ";"Receitas de Capital";"Amortização de Empréstimos";"26.106,67";"5.039,44";"1.829,44"
"Francisco Morato";"";"Fundo De Previdencia Social Do Municipio De Francisco Morato";"Receitas Correntes";"Outras Receitas Correntes";"144.226,83";"644.242,80";"62.332,47"
